음식id,칼로리,음식명,단백질,지방,탄수화물,당류,콜레스트롤
6752,146,팟타이,3.98,6.2,18.54,5.41,39.68
110,71,게살죽,2.24,0.89,13.42,0.02,6.27
523,64,깨죽,1.71,1.99,9.91,0.45,0
2009,19,미음,0.3,0,4.7,0,0
2010,20,미음_칠분도미,0.3,0.1,4.6,0,0
2011,19,미음_현미,0.4,0.1,4.4,0.1,0
2206,65,백합죽,2.36,0.8,12.1,0,4.59
3111,72,소고기버섯죽,2.34,0.93,13.63,0.03,3.26
3877,98,스프_감자,1.91,6.54,7.91,3.6,11.3
3879,40,스프_소고기,1.06,0.87,6.91,2.72,1.24
3884,45,스프_크림,0.64,1.59,7.03,1.27,4.09
3882,46,스프_옥수수,0.83,1.48,7.33,2.64,1.26
3974,53,쌀죽,0.99,0.15,11.45,0,0
3975,53,쌀죽_삼광,0.89,0.1,11.51,0,0
3976,55,쌀죽_새일미,1.09,0.17,11.72,0,0
3977,53,쌀죽_신동진,0.96,0.15,11.42,0,0
3978,52,쌀죽_오대,1.02,0.18,11.16,0,0
3979,68,쌀죽_칠분도미,1.1,0.2,15.6,0.1,0
4371,69,어죽,2.55,0.94,12.6,1.23,4.43
4849,77,율무죽,3.26,0.98,13.75,0.1,0
4930,125,잣죽,2.74,2.8,22.18,0.34,0
5032,38,참깨죽,1,1.2,5.9,,
5046,82,참치죽,3.02,2.01,13.07,0.17,5
8771,64,현미죽,1.2,0.4,15.2,0.4,0
108,38,게국지,4.08,1.1,2.88,0.98,35.29
172,42,곰치국,5.43,1.18,2.39,0.28,47.65
591,31,낙지탕,4.9,0.53,1.73,0.32,48.74
1141,23,된장국_무,1.36,0.53,3.27,1.31,0
1150,49,된장국_우렁,4.92,1.54,3.84,0.72,21.08
1811,24,매생이국,2,0.56,2.68,0.08,1.32
1956,36,묵말이_도토리묵,0.52,0.65,6.9,0.48,0
1981,25,미소된장국,1.87,1.2,1.87,0.47,0
1992,17,미역국_굴,1.43,0.64,1.37,0,6.03
1995,9,미역국_바지락,0.89,0.22,0.95,0,2.53
1996,19,미역국_북어,2.46,0.56,1.04,0,9.29
1999,19,미역국_참치,2.62,0.57,0.9,0,4.6
2000,26,미역국_홍합,3.03,0.72,1.78,0,8.98
2886,56,새우탕_간편조리세트_전복민물새우탕,2.85,0.45,10.07,0.91,12.68
3194,58,소탕,5.1,3.57,1.27,0.02,0
3999,41,아구탕,6.3,0.82,2.13,0.3,53.16
4354,69,어묵국_간편조리세트_프리미엄 이자카야어묵탕,3.48,1.26,11.01,3.02,5.84
